Time,Port Aileron,Starboard Aileron,Port Flap,Starboard Flap,Elevator,Rudder,Roll,Pitch,Yaw
1732897826.57713,0,0,0,0,0,0,,,
1732897826.659093,0,0,0,0,0,0,,,
1732897826.7095091,0,0,0,0,0,0,,,
1732897826.760159,0,0,0,0,0,0,,,
1732897826.811141,0,0,0,0,0,0,,,
1732897826.861674,0,0,0,0,0,0,,,
1732897826.912987,0,0,0,0,0,0,,,
1732897826.964046,0,0,0,0,0,0,,,
1732897827.020566,0,0,0,0,0,0,,,
1732897827.071091,0,0,0,0,0,0,,,
1732897827.122262,0,0,0,0,0,0,,,
1732897827.173007,0,0,0,0,0,0,,,
1732897827.223943,0,0,0,0,0,0,,,
1732897827.275299,0,0,0,0,0,0,,,
1732897827.32668,0,0,0,0,0,0,,,
1732897827.377493,0,0,0,0,0,0,,,
1732897827.428331,0,0,0,0,0,0,,,
1732897827.479775,0,0,0,0,0,0,,,
1732897827.5315971,0,0,0,0,0,0,,,
1732897827.5825799,0,0,0,0,0,0,,,
1732897827.6341481,0,0,0,0,0,0,,,
1732897827.686283,0,0,0,0,0,0,,,
1732897827.7380228,0,0,0,0,0,0,,,
1732897827.790588,0,0,0,0,0,0,,,
1732897827.8416698,0,0,0,0,0,0,,,
1732897827.8930151,0,0,0,0,0,0,,,
1732897827.944438,0,0,0,0,0,0,,,
1732897827.9959219,0,0,0,0,0,0,,,
1732897828.046874,0,0,0,0,0,0,,,
1732897828.09786,0,0,0,0,0,0,,,
1732897828.148961,0,0,0,0,0,0,,,
1732897828.19995,0,0,0,0,0,0,,,
1732897828.2512891,0,0,0,0,0,0,,,
1732897828.3023858,0,0,0,0,0,0,,,
1732897828.353649,0,0,0,0,0,0,,,
1732897828.4040809,0,0,0,0,0,0,,,
1732897828.454771,0,0,0,0,0,0,,,
1732897828.5062761,0,0,0,0,0,0,,,
1732897828.557338,0,0,0,0,0,0,,,
1732897828.609169,0,0,0,0,0,0,,,
1732897828.660898,0,0,0,0,0,0,,,
1732897828.711744,0,0,0,0,0,0,,,
1732897828.763205,0,0,0,0,0,0,,,
1732897828.815093,0,0,0,0,0,0,,,
1732897828.866239,0,0,0,0,0,0,,,
1732897828.91806,0,0,0,0,0,0,,,
1732897828.9692411,0,0,0,0,0,0,,,
1732897829.021255,0,0,0,0,0,0,,,
1732897829.073198,0,0,0,0,0,0,,,
1732897829.1243432,0,0,0,0,0,0,,,
1732897829.175576,0,0,0,0,0,0,,,
1732897829.2269282,0,0,0,0,0,0,,,
1732897829.277785,0,0,0,0,0,0,,,
1732897829.329238,0,0,0,0,0,0,,,
1732897829.380648,0,0,0,0,0,0,,,
1732897829.431953,0,0,0,0,0,0,,,
1732897829.4831219,0,0,0,0,0,0,,,
1732897829.533887,0,0,0,0,0,0,,,
